鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
新港鄉,土地,月眉潭段眉潭小段241~270地號,1904.0,,特定農業區,農牧用地,1060322,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3980000,2090,,0.0,0,,RPQNMLRKMHMFFCQ86CA
新港鄉,土地,永福段571~600地號,61.28,住,,,1060323,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,370800,6051,,0.0,0,,RPRNMLRKMHMFFCQ96CA
六腳鄉,土地,竹子腳段631~660地號,1254.5,,一般農業區,農牧用地,1060407,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,750000,598,,0.0,0,,RPTNMLKKMHMFFBQ98CA
六腳鄉,房地(土地+建物),嘉義縣六腳鄉林內211~240號,3887.0,,特定農業區,農牧用地,1060321,土地1建物1車位0,一層,一層,其他,見其他登記事項,見其他登記事項,1041105,2714.61,0,0,0,無,無,19500000,7183,,0.0,0,建物為畜牧設施(雞舍),RPUNMLKKMHMFFBQ09CA
朴子市,房地(土地+建物),嘉義縣朴子市文明南路91~120號,120.66,住,,,1060316,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1041124,226.85,4,3,3,有,無,11000000,48490,,0.0,0,,RPWNMLMKMHMFFBQ86CA
民雄鄉,土地,民雄段961~990地號,1162.0,其他,,,1060302,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10500000,9036,,0.0,0,,RPQNMLMKMHMFFCQ98CA
朴子市,房地(土地+建物),嘉義縣朴子市吉祥七街61~90號,6.75,住,,,1060322,土地1建物1車位0,四層,五層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0940103,22.63,1,0,1,有,有,560000,24746,,0.0,0,,RPPOMLTKMHMFFBQ96CA
布袋鎮,土地,振寮段391~420地號,23.19,住,,,1060325,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,105240,4538,,0.0,0,共有人間之買賣,RPWNMLKLMHMFFBQ76CA
鹿草鄉,土地,馬稠後段豐稠小段91~120地號,13581.0,,工業區,丁種建築用地,1060317,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,120342192,8861,,0.0,0,,RPQNMLOKMHMFFDQ66CA
鹿草鄉,土地,馬稠後段豐稠小段91~120地號,19260.0,,工業區,丁種建築用地,1060317,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,165683765,8602,,0.0,0,,RPRNMLOKMHMFFDQ76CA
